Test (3B): leader backs up quickly over incorrect follower logs ...
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 40 40 40] next:[2 2 41 41 41]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 41 40 40] next:[2 2 42 41 41]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 41 41 41] next:[2 2 42 42 42]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 42 41 41] next:[2 2 43 42 42]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 42 42 42] next:[2 2 43 43 43]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 43 42 42] next:[2 2 44 43 43]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 43 43 43] next:[2 2 44 44 44]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 44 43 43] next:[2 2 45 44 44]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 44 44 44] next:[2 2 45 45 45]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 45 44 44] next:[2 2 46 45 45]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 45 45 45] next:[2 2 46 46 46]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 46 45 45] next:[2 2 47 46 46]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 46 46 46] next:[2 2 47 47 47]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 47 46 46] next:[2 2 48 47 47]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 47 47 47] next:[2 2 48 48 48]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 48 47 47] next:[2 2 49 48 48]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 48 48 48] next:[2 2 49 49 49]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 49 48 48] next:[2 2 50 49 49]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 49 49 49] next:[2 2 50 50 50]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 50 49 49] next:[2 2 51 50 50]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 50 50 50] next:[2 2 51 51 51]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 51 50 50] next:[2 2 52 51 51]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 51 51 51] next:[2 2 52 52 52]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 51 51 51] next:[2 2 52 52 52]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 51 51 51] next:[2 2 52 52 52]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 51 51 51] next:[2 2 52 52 52]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 101 51 51] next:[2 2 102 52 52]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[0:1] match:[52 51 1 1 1] next:[53 52 2 2 2]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
